model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,2987,0.301980198019802,0.08847408634461428,Cui et al. [58] processed result
HTM,2995,0.30099009900990104,0.08902085858609513,Cui et al. [58] processed result
HTM,3004,0.30099009900990104,0.08701612888205874,Cui et al. [58] processed result
HTM,3013,0.29801980198019806,0.08556769947252463,Cui et al. [58] processed result
HTM,3021,0.2960396039603961,0.08533826428422372,Cui et al. [58] processed result
HTM,3029,0.29900990099009905,0.0846867516053192,Cui et al. [58] processed result
HTM,3038,0.29900990099009905,0.08398934677405345,Cui et al. [58] processed result
HTM,3046,0.2960396039603961,0.08324489637964315,Cui et al. [58] processed result
HTM,3055,0.28910891089108914,0.08316831683168319,Cui et al. [58] processed result
HTM,3063,0.2910891089108911,0.08297951223666125,Cui et al. [58] processed result
HTM,3071,0.2920792079207921,0.08251155108911157,Cui et al. [58] processed result
HTM,3080,0.28712871287128716,0.08164565595282497,Cui et al. [58] processed result
HTM,3088,0.29009900990099013,0.08032016123705771,Cui et al. [58] processed result
HTM,3096,0.29801980198019806,0.080002205635706,Cui et al. [58] processed result
HTM,3104,0.304950495049505,0.07893517397225644,Cui et al. [58] processed result
HTM,3113,0.304950495049505,0.07843684087262717,Cui et al. [58] processed result
HTM,3121,0.305940594059406,0.07963375630731839,Cui et al. [58] processed result
HTM,3129,0.30792079207920797,0.07987957802586121,Cui et al. [58] processed result
