script,line,option,aliases,default,paper_facing,diagnostic,legacy,duplicated,silent_override_risk,future_config_group
experiments/diagnostics/fig8_branch_coherence.py,457,--beam-widths,--beam-widths,"(4,)",False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,458,--lambda-coherence,--lambda-coherence,"(0.5,)",False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,461,--lambda-support,--lambda-support,0.0,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,462,--summary-only,--summary-only,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,467,--burst-analysis,--burst-analysis,'all',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,34,--data,--data,'data/CBTest/data/cbt_train.txt',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,35,--num-sentences,--num-sentences,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,36,--response-scale,--response-scale,'normalized',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,37,--neural-propagations,--neural-propagations,"('raw', 'eventwise-inhibited')",False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,43,--seed,--seed,11,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,44,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,45,--details-sample-sentences,--details-sample-sentences,20,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_false_positive_ablation.py,46,--trace-segments,--trace-segments,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,570,--num-sentences,--num-sentences,20,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,571,--seed,--seed,11,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,572,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_prediction_competition.py,703,--data,--data,'data/CBTest/data/cbt_train.txt',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_prediction_competition.py,704,--num-sentences,--num-sentences,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_prediction_competition.py,705,--seed,--seed,11,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_prediction_competition.py,706,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_prediction_competition.py,707,--ranking-modes,--ranking-modes,RANKING_MODES,False,True,False,False,LOW,DiagnosticConfig
