path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/fig9_diagnostics/lmatch_ablation_250_20260802_012853/L4_20260802_012853_503,L4_20260802_012853_503,34997666,2026-08-02T01:35:35.778999,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260802_015823,lmatch_ablation_250_20260802_015823,0,2026-08-02T01:58:23.712374,Fig9,,False,False,False,False,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/lmatch_ablation_250_20260803_032526,lmatch_ablation_250_20260803_032526,43982328,2026-08-03T03:38:32.330250,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260803_032526/L3_20260803_032526_110,L3_20260803_032526_110,27426021,2026-08-03T03:38:30.724846,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_081403,lmatch_ablation_250_20260804_081403,94215537,2026-08-04T08:29:04.102833,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_081403/L2_20260804_081403_165,L2_20260804_081403_165,56267215,2026-08-04T08:29:01.764467,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_084050,lmatch_ablation_250_20260804_084050,468974238,2026-08-04T09:17:36.818770,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_084050/L2_20260804_084050_135,L2_20260804_084050_135,77792794,2026-08-04T08:47:43.443719,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_084050/L2_assembled_full_200_244,L2_assembled_full_200_244,78540183,2026-08-04T09:16:43.956359,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260804_084050/L2_assembled_full_200_244_failed_context_only,L2_assembled_full_200_244_failed_context_only,96804408,2026-08-04T08:59:25.705820,Fig9,,True,True,False,True,False,D,HIGH,KEEP_CHECKPOINT
