field,record_range,context_variant,columns,mean_best_overlap,mean_passing_segments_L1,ambiguous_segment_rate_L1,ambiguous_neuron_rate_L1,selected_compatibility_rate_L1,mean_passing_segments_L2,ambiguous_segment_rate_L2,ambiguous_neuron_rate_L2,selected_compatibility_rate_L2,mean_passing_segments_L3,ambiguous_segment_rate_L3,ambiguous_neuron_rate_L3,selected_compatibility_rate_L3,mean_passing_segments_L4,ambiguous_segment_rate_L4,ambiguous_neuron_rate_L4,selected_compatibility_rate_L4
time,150-199,CROSS_FIELD_ONLY,500,2.848,1.646,0.536,0.536,0.784,0.728,0.07,0.07,0.55,0.26,0.008,0.008,0.164,0.238,0.004,0.004,0.162
time,150-199,PREDICTED_ONLY,500,2.536,1.196,0.208,0.208,0.896,0.746,0.032,0.032,0.67,0.364,0.006,0.006,0.32,0.216,0.004,0.004,0.19
time,150-199,PREDICTED_PLUS_WINNER,500,11.086,1.978,0.73,0.73,0.94,1.14,0.154,0.154,0.922,1.022,0.056,0.056,0.916,1.006,0.04,0.04,0.916
time,150-199,SAME_FIELD_ONLY,500,11.048,2.914,0.906,0.906,0.982,2.004,0.704,0.704,0.964,1.51,0.432,0.432,0.944,1.192,0.192,0.192,0.928
time,150-199,WINNER_ONLY,500,11.086,1.978,0.73,0.73,0.94,1.14,0.154,0.154,0.922,1.022,0.056,0.056,0.916,1.006,0.04,0.04,0.916
time,150-199,WITHOUT_BURST_ONLY,500,11.086,1.978,0.73,0.73,0.94,1.14,0.154,0.154,0.922,1.022,0.056,0.056,0.916,1.006,0.04,0.04,0.916
time,200-244,ALL_CELL_CURRENT,450,13.215555555555556,3.8377777777777777,0.9911111111111112,0.9911111111111112,0.9955555555555555,2.477777777777778,0.8511111111111112,0.8511111111111112,0.9777777777777777,1.7933333333333332,0.6133333333333333,0.6133333333333333,0.9422222222222222,1.4955555555555555,0.4266666666666667,0.4266666666666667,0.9222222222222223
time,200-244,BURST_ONLY,450,11.328888888888889,3.7266666666666666,0.98,0.98,0.9911111111111112,2.382222222222222,0.8022222222222222,0.8022222222222222,0.9688888888888889,1.7622222222222221,0.5888888888888889,0.5888888888888889,0.94,1.48,0.41555555555555557,0.41555555555555557,0.9222222222222223
time,200-244,CROSS_FIELD_ONLY,450,2.7111111111111112,2.3177777777777777,0.8222222222222222,0.8222222222222222,0.7688888888888888,0.6333333333333333,0.12444444444444444,0.12444444444444444,0.25555555555555554,0.37333333333333335,0.051111111111111114,0.051111111111111114,0.1622222222222222,0.29555555555555557,0.022222222222222223,0.022222222222222223,0.14888888888888888
time,200-244,PREDICTED_ONLY,450,1.9333333333333333,1.211111111111111,0.21777777777777776,0.21777777777777776,0.8733333333333333,0.68,0.011111111111111112,0.011111111111111112,0.6266666666666667,0.2511111111111111,0.0,0.0,0.22666666666666666,0.04,0.0,0.0,0.03111111111111111
time,200-244,PREDICTED_PLUS_WINNER,450,10.831111111111111,2.4466666666666668,0.8955555555555555,0.8955555555555555,0.9311111111111111,1.2577777777777779,0.24666666666666667,0.24666666666666667,0.9044444444444445,1.0866666666666667,0.10444444444444445,0.10444444444444445,0.9022222222222223,1.0244444444444445,0.04888888888888889,0.04888888888888889,0.9022222222222223
time,200-244,SAME_FIELD_ONLY,450,11.253333333333334,2.8666666666666667,0.9066666666666666,0.9066666666666666,0.9844444444444445,2.0444444444444443,0.7266666666666667,0.7266666666666667,0.9688888888888889,1.5022222222222221,0.4311111111111111,0.4311111111111111,0.9288888888888889,1.2577777777777779,0.24,0.24,0.9111111111111111
time,200-244,WINNER_ONLY,450,10.831111111111111,2.4466666666666668,0.8955555555555555,0.8955555555555555,0.9311111111111111,1.2577777777777779,0.24666666666666667,0.24666666666666667,0.9044444444444445,1.0866666666666667,0.10444444444444445,0.10444444444444445,0.9022222222222223,1.0244444444444445,0.04888888888888889,0.04888888888888889,0.9022222222222223
time,200-244,WITHOUT_BURST_ONLY,450,10.831111111111111,2.4466666666666668,0.8955555555555555,0.8955555555555555,0.9311111111111111,1.2577777777777779,0.24666666666666667,0.24666666666666667,0.9044444444444445,1.0866666666666667,0.10444444444444445,0.10444444444444445,0.9022222222222223,1.0244444444444445,0.04888888888888889,0.04888888888888889,0.9022222222222223
